Feature-Set;NSHAP-Value
holiday,workingday,temp,hum,windspeed;-0.0000
holiday,workingday,atemp,hum,windspeed;0.0000
holiday,weathersit,temp,atemp,hum;-0.0111
holiday,weathersit,temp,atemp,windspeed;-0.0364
holiday,weathersit,temp,hum,windspeed;-0.0299
holiday,weathersit,atemp,hum,windspeed;-0.0631
holiday,temp,atemp,hum,windspeed;0.0373
weekday,workingday,weathersit,temp,atemp;-0.5619
weekday,workingday,weathersit,temp,hum;-0.7714
weekday,workingday,weathersit,temp,windspeed;0.4069
weekday,workingday,weathersit,atemp,hum;-0.7560
weekday,workingday,weathersit,atemp,windspeed;0.3195
weekday,workingday,weathersit,hum,windspeed;0.5993
weekday,workingday,temp,atemp,hum;0.4986
weekday,workingday,temp,atemp,windspeed;-0.9299
weekday,workingday,temp,hum,windspeed;4.1678
weekday,workingday,atemp,hum,windspeed;-0.5208
weekday,weathersit,temp,atemp,hum;1.7019
weekday,weathersit,temp,atemp,windspeed;-0.6597
weekday,weathersit,temp,hum,windspeed;-2.0374
weekday,weathersit,atemp,hum,windspeed;0.2773
weekday,temp,atemp,hum,windspeed;1.5055
workingday,weathersit,temp,atemp,hum;0.6507
workingday,weathersit,temp,atemp,windspeed;0.4544
workingday,weathersit,temp,hum,windspeed;1.1953
workingday,weathersit,atemp,hum,windspeed;-1.0460
workingday,temp,atemp,hum,windspeed;4.5514
weathersit,temp,atemp,hum,windspeed;1.1781
season,mnth,holiday,weekday,workingday,weathersit;0.0000
season,mnth,holiday,weekday,workingday,temp;0.0000
season,mnth,holiday,weekday,workingday,atemp;0.0000
season,mnth,holiday,weekday,workingday,hum;0.0000
season,mnth,holiday,weekday,workingday,windspeed;0.0000
season,mnth,holiday,weekday,weathersit,temp;-0.0028
season,mnth,holiday,weekday,weathersit,atemp;-0.0059
season,mnth,holiday,weekday,weathersit,hum;0.0000
season,mnth,holiday,weekday,weathersit,windspeed;-0.0040
season,mnth,holiday,weekday,temp,atemp;-0.0779
season,mnth,holiday,weekday,temp,hum;0.0003
season,mnth,holiday,weekday,temp,windspeed;0.0842
season,mnth,holiday,weekday,atemp,hum;-0.0035
season,mnth,holiday,weekday,atemp,windspeed;-0.0522
season,mnth,holiday,weekday,hum,windspeed;-0.0586
season,mnth,holiday,workingday,weathersit,temp;0.0000
season,mnth,holiday,workingday,weathersit,atemp;0.0000
season,mnth,holiday,workingday,weathersit,hum;0.0000
season,mnth,holiday,workingday,weathersit,windspeed;0.0000
season,mnth,holiday,workingday,temp,atemp;0.0000
season,mnth,holiday,workingday,temp,hum;0.0000
season,mnth,holiday,workingday,temp,windspeed;0.0000
season,mnth,holiday,workingday,atemp,hum;0.0000
season,mnth,holiday,workingday,atemp,windspeed;0.0000
season,mnth,holiday,workingday,hum,windspeed;-0.0000
